packets_received,wrapped_seq
9660000,26158
9670000,36207
9680000,46148
9690000,56207
9700000,627
9710000,10652
9720000,20630
9730000,30671
9740000,40640
9750000,50639
9760000,60583
9770000,5135
9780000,15135
9790000,25135
9800000,35105
9810000,45135
9820000,55103
9830000,65135
9840000,9583
9850000,19599
9860000,29599
9870000,39573
9880000,49599
9890000,59576
9900000,4063
9910000,14063
9920000,24053
9930000,34063
9940000,44063
9950000,54040
9960000,64063
9970000,8520
9980000,18527
9990000,28527
10000000,38527
